domain,source,source_category,type,corpus_cownload_link,duration(hrs)
news,bbc_news_telugu,bbc_news_telugu_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_BBC_News_Telugu_17-08-2021_00-57.zip,116.64
news,bbc_news_telugu,bbc_news_telugu_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_BBC_News_Telugu_17-08-2021_01-05.zip,
news,bbc_news_telugu,bbc_news_telugu_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_BBC_News_Telugu_17-08-2021_01-12.zip,
news,bbc_news_telugu,bbc_news_telugu_4,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_BBC_News_Telugu_17-08-2021_01-19.zip,
news,bbc_news_telugu,bbc_news_telugu_5,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_BBC_News_Telugu_17-08-2021_01-27.zip,
news,bbc_news_telugu,bbc_news_telugu_6,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_BBC_News_Telugu_17-08-2021_01-35.zip,
entertainment,chai_bisket_stories,chai_bisket_stories_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Chai_Bisket_Stories_16-08-2021_14-12.zip,
entertainment,chai_bisket_stories,chai_bisket_stories_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Chai_Bisket_Stories_16-08-2021_14-14.zip,
entertainment,chai_bisket_stories,chai_bisket_stories_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Chai_Bisket_Stories_16-08-2021_14-17.zip,4.15
news,dd_saptagiri,dd_saptagiri_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_DD_Saptagiri_16-08-2021_14-12.zip,21.51
news,dd_saptagiri,dd_saptagiri_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_DD_Saptagiri_16-08-2021_14-14.zip,
news,dd_saptagiri,dd_saptagiri_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_DD_Saptagiri_16-08-2021_14-17.zip,
news,dd_saptagiri,dd_saptagiri_4,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_DD_Saptagiri_16-08-2021_14-19.zip,
news,dd_saptagiri,dd_saptagiri_5,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_DD_Saptagiri_16-08-2021_14-23.zip,
philosophy,josh_talks_telugu,josh_talks_telugu_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Josh_Talks_Telugu_16-08-2021_14-12.zip,281.9
philosophy,josh_talks_telugu,josh_talks_telugu_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Josh_Talks_Telugu_16-08-2021_14-14.zip,
philosophy,josh_talks_telugu,josh_talks_telugu_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Josh_Talks_Telugu_16-08-2021_14-17.zip,
philosophy,josh_talks_telugu,josh_talks_telugu_4,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Josh_Talks_Telugu_16-08-2021_14-19.zip,
philosophy,josh_talks_telugu,josh_talks_telugu_5,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Josh_Talks_Telugu_16-08-2021_14-24.zip,
philosophy,josh_talks_telugu,josh_talks_telugu_6,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Josh_Talks_Telugu_16-08-2021_14-34.zip,
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-12.zip,34.83
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-14.zip,
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-17.zip,
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_4,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-19.zip,
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_5,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-21.zip,
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_6,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-34.zip,
art-and-culture,telangana_sahitya_akademi,telangana_sahitya_akademi_7,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Telangana_Sahitya_Akademi_16-08-2021_14-40.zip,
news,Zee_Telugu,Zee_Telugu_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Zee_Telugu_16-08-2021_14-12.zip,7
news,Zee_Telugu,Zee_Telugu_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Zee_Telugu_16-08-2021_14-14.zip,
news,Zee_Telugu,Zee_Telugu_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Zee_Telugu_16-08-2021_14-17.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_Zee_Telugu_16-08-2021_14-18.zip,49
entertainment,idream_telugu_movies,idream_telugu_movies_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-12.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_3,labelled,https://storage.googleapis.comtest_public_bucket/labelled/Telugu_Zee_Telugu_16-08-2021_14-18.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_4,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-14.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_5,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-17.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_6,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-18.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_7,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-21.zip,
entertainment,idream_telugu_movies,idream_telugu_movies_8,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-34.zip,
news,newsonair.nic.in,newsonair.nic.in_1,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_iDream_Telugu_Movies_16-08-2021_14-40.zip,719.35
news,newsonair.nic.in,newsonair.nic.in_2,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_06-17.zip,
news,newsonair.nic.in,newsonair.nic.in_3,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_06-30.zip,
news,newsonair.nic.in,newsonair.nic.in_4,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_06-45.zip,
news,newsonair.nic.in,newsonair.nic.in_5,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_07-01.zip,
news,newsonair.nic.in,newsonair.nic.in_6,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_07-16.zip,
news,newsonair.nic.in,newsonair.nic.in_7,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_07-34.zip,
news,newsonair.nic.in,newsonair.nic.in_8,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_07-51.zip,
news,newsonair.nic.in,newsonair.nic.in_9,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_08-06.zip,
news,newsonair.nic.in,newsonair.nic.in_10,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_08-22.zip,
news,newsonair.nic.in,newsonair.nic.in_11,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_08-39.zip,
news,newsonair.nic.in,newsonair.nic.in_12,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_08-47.zip,
news,newsonair.nic.in,newsonair.nic.in_13,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_09-04.zip,
news,newsonair.nic.in,newsonair.nic.in_14,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_09-19.zip,
news,newsonair.nic.in,newsonair.nic.in_15,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_09-34.zip,
news,newsonair.nic.in,newsonair.nic.in_16,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_09-50.zip,
news,newsonair.nic.in,newsonair.nic.in_17,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_10-03.zip,
news,newsonair.nic.in,newsonair.nic.in_18,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_10-19.zip,
news,newsonair.nic.in,newsonair.nic.in_19,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_10-32.zip,
news,newsonair.nic.in,newsonair.nic.in_20,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_10-48.zip,
news,newsonair.nic.in,newsonair.nic.in_21,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_11-02.zip,
news,newsonair.nic.in,newsonair.nic.in_22,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_11-16.zip,
news,newsonair.nic.in,newsonair.nic.in_23,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_11-23.zip,
news,newsonair.nic.in,newsonair.nic.in_24,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_11-38.zip,
news,newsonair.nic.in,newsonair.nic.in_25,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_11-54.zip,
news,newsonair.nic.in,newsonair.nic.in_26,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_12-10.zip,
news,newsonair.nic.in,newsonair.nic.in_27,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_12-26.zip,
news,newsonair.nic.in,newsonair.nic.in_28,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_12-40.zip,
news,newsonair.nic.in,newsonair.nic.in_29,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_12-54.zip,
news,newsonair.nic.in,newsonair.nic.in_30,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_13-06.zip,
news,newsonair.nic.in,newsonair.nic.in_31,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_13-17.zip,
news,newsonair.nic.in,newsonair.nic.in_32,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_13-25.zip,
news,newsonair.nic.in,newsonair.nic.in_33,labelled,https://storage.googleapis.com/test_public_bucket/labelled/Telugu_newsonair.nic.in_16-08-2021_13-34.zip,